Station,Occurrences,Latitude,Longitude
Western Ave & Roscoe St,4020,41.943034,-87.687288
Kedzie Ave & Harrison St,222,41.87359967462,-87.7048707493
California Ave & Division St,4579,41.903060079,-87.697484374
Financial Pl & Ida B Wells Dr,9540,41.875055671,-87.633106709
Kedzie Ave & 45th St,208,41.81,-87.7
Clark St & Drummond Pl,23380,41.93127633333334,-87.64420616666666
Indiana Ave & 103rd St,205,41.70717027117756,-87.6184719800949
Public Rack - Lockwood Ave & Diversey Ave,296,41.93,-87.76
Mayfield & Roosevelt Rd,24,41.87,-87.77
Commercial Ave & 83rd St,197,41.744677186,-87.551214576
Racine Ave & Garfield Blvd,242,41.794228,-87.655073
Kosciuszko Park,3165,41.930567333333336,-87.72386183333333
Laflin St & Cullerton St,3226,41.85491457576575,-87.66355991363525
Spaulding Ave & Division St,2741,41.902729869,-87.709277034
Public Rack - California Ave & Marquette Rd,26,41.77,-87.69
Canal St & Adams St,24252,41.879395127,-87.639939666
State St & 76th St,95,41.756971,-87.624621
Marquette Ave & 89th St,124,41.73376583333334,-87.55856783333333
Kostner Ave & 63rd St,139,41.78,-87.73
Humboldt Blvd & Armitage Ave,5672,41.917557478,-87.701717377
State St & Randolph St,18547,41.88462107257936,-87.62783423066139
Artesian Ave & 55th St,251,41.79,-87.69
Leavitt St & Chicago Ave,5345,41.895501,-87.682017
Big Marsh Park,276,41.68587705562333,-87.57382392883301
Richmond St & Lincoln Ave,240,41.99,-87.7
Public Rack - McCormick Blvd & Devon Ave,94,42.0,-87.71
Yates Blvd & 75th St,266,41.758768,-87.56644
Public Rack - Baltimore Ave & 133rd St,14,41.65,-87.55
Shore Dr & 55th St,11642,41.795212,-87.580715
Lake Park Ave & 47th St,2629,41.809443,-87.591875
Wood St & Chicago Ave,7738,41.895634,-87.672069
Cottage Grove Ave & 111th Pl,204,41.69170975847015,-87.61000156402588
Greenview Ave & Fullerton Ave,13516,41.92545855,-87.665892363
Stony Island Ave & 67th St,464,41.773451567,-87.585270047
Clark St & Schreiber Ave,3474,41.99925182186,-87.6713773393
Western Ave & 111th St,398,41.691211034981045,-87.68129736185074
Damen Ave & Madison St,3147,41.881411314,-87.674927711
Sheridan Rd & Buena Ave,10330,41.958494,-87.654966
Mulligan Ave & Wellington Ave,351,41.93,-87.78
Loomis St & 89th St,130,41.732463598,-87.658054233
Public Rack - Komensky Ave & 59th St,3,41.79,-87.72
Dauphin Ave & 87th St,190,41.73655902282214,-87.60125756263733
Washtenaw Ave & Peterson Ave,337,41.99,-87.7
Kedzie Ave & Lake St,1135,41.884603,-87.706304
Ashland Ave & 63rd St,199,41.779373527,-87.664954185
Public Rack - Kildare Ave & North Ave,24,41.91,-87.73
Stony Island Ave & 63rd St,77,41.78,-87.59
Western Ave & Winnebago Ave,11306,41.91552,-87.687022
Spaulding Ave & 16th St,71,41.86,-87.71
Western Ave & Granville Ave,1487,41.99419713,-87.689505577
Cottage Grove Ave & 67th St,439,41.77372095205,-87.60563486
Plainfield & Irving Park,76,41.95,-87.83
Oketo Ave & Addison St,145,41.94,-87.81
Kilpatrick Ave & Parker Ave,622,41.93,-87.74
Chicago Ave & Sheridan Rd,4885,42.050491,-87.677821
Austin Blvd & Lake St,469,41.887941599,-87.774499416
Public Rack - Cicero Ave & Wrightwood Ave,341,41.93,-87.75
Fort Dearborn Dr & 31st St,8214,41.838556,-87.608218
Lincolnwood Dr & Central St,577,42.064748287,-87.715313911
State St & 79th St,619,41.750757098,-87.624497294
Southport Ave & Irving Park Rd,8404,41.95405817,-87.664045811
Kedzie Ave & 24th St,303,41.848190308,-87.705479503
Larrabee St & North Ave,7588,41.910186768,-87.643478513
Calumet Ave & 18th St,8682,41.85761755293753,-87.61941075325012
Milwaukee Ave & Wabansia Ave,13028,41.912616,-87.681391
Sheffield Ave & Webster Ave,18998,41.921693087,-87.653823137
Ritchie Ct & Banks St,12464,41.906884789,-87.626224756
LaSalle St & Washington St,8909,41.882567763,-87.632375956
Public Rack - Central Ave & George St,41,41.93,-87.77
Calumet Ave & 35th St,3105,41.831379,-87.618034
Mies van der Rohe Way & Chicago Ave,15491,41.896944626370825,-87.62175768613815
Pulaski & Ann Lurie Pl,163,41.82,-87.72
Public Rack - Christiana Ave & Archer Ave,124,41.81,-87.71
Sacramento Blvd & Addison St,1006,41.95,-87.7
Kilpatrick Ave & Grand Ave,267,41.91,-87.74
Adler Planetarium,16167,41.86615066666667,-87.60727716666666
Stetson Ave & South Water St,11830,41.886756301,-87.622464061
McClurg Ct & Ohio St,21833,41.892447233,-87.617248297
Kedzie Ave & 57th St,538,41.79,-87.7
Dodge Ave & Main St,628,42.034846544,-87.699111581
Racine Ave & 18th St,7445,41.85815783333334,-87.65641566666666
Clark St & Schiller St,19674,41.907993,-87.631501
Walsh Park,8359,41.91461,-87.667968
Lamon Ave & Chicago Ave,136,41.9,-87.75
California Ave & 36th St,122,41.83,-87.69
Wood St & Taylor St (Temp),6792,41.869436026,-87.673799157
Kedzie Ave & 48th Pl,1279,41.8,-87.7
Ashland Ave & Belle Plaine Ave,3562,41.95612061,-87.668925047
Manor Ave & Leland Ave,2214,41.965936065,-87.700823665
Harlem & Irving Park,735,41.95,-87.81
Halsted St & 69th St,133,41.76906172032,-87.6446135779
Wentworth Ave & 63rd St,552,41.78007963264,-87.6297463052
Wolcott (Ravenswood) Ave & Montrose Ave,6270,41.961446643,-87.676217794
Western Ave & Berteau Ave,951,41.96,-87.69
Sheridan Rd & Lawrence Ave,6989,41.969522119,-87.654743075
Halsted St & 21st St,2279,41.85377981072743,-87.6466029882431
Benson Ave & Church St,5936,42.048214,-87.683485
St Louis Ave & 59th St,248,41.79,-87.71
Central St & Girard Ave,1273,42.06432426,-87.686156988
Western Ave & 62nd St,29,41.78,-87.68
Central Park Ave & Elbridge Ave,3323,41.935374737,-87.716798425
Kilbourn Ave & Milwaukee Ave,435,41.94707089418471,-87.74000823497772
Woodlawn Ave & Lake Park Ave,1503,41.81409271048,-87.5970051479
Public Rack - Kedzie Ave & Argyle St,252,41.97,-87.71
Mason Ave & Belmont Ave,143,41.94,-87.77
Ashland Ave & McDowell Ave,490,41.808873415,-87.664515615
Albany Ave & 16th St,184,41.86,-87.7
Public Rack - Champlain Ave & 65th St,112,41.78,-87.61
East End Ave & 87th St,160,41.736797094,-87.582802176
Maplewood Ave & 59th St,115,41.79,-87.69
Public Rack - Harold Washington Park,159,41.8,-87.58
Public Rack - Loomis St & 87th St,103,41.74,-87.66
N Southport Ave & W Newport Ave,1396,41.94,-87.66
DuSable Museum,974,41.791519284,-87.607824922
Archer (Damen) Ave & 37th St,568,41.826712,-87.683144
Western Ave & 28th St,74,41.84151770807,-87.6851314409
Phillips Ave & 79th St,312,41.751822,-87.56522716666667
Homewood Ave & 115th St,195,41.684617639,-87.670767903
Pulaski Rd & 60th St,158,41.78,-87.72
Halsted St & 56th St,141,41.79292964599,-87.6449900565
Public Rack - Mt Greenwood Library - South,2,41.69,-87.7
Springfield Ave & 47th St,133,41.81,-87.72
Public Rack - Racine Ave & 109th Pl,249,41.69,-87.65
Public Rack - California Ave & Devon Ave - NW,88,42.0,-87.7
Constance Ave & 95th St,119,41.72229074095262,-87.57896840572357
Canal St & Jackson Blvd,13135,41.877245,-87.639366
Western Blvd & 48th Pl,439,41.805683732,-87.683331132
Paulina St & Howard St,2778,42.019159,-87.673573
Avenue O & 134th St,131,41.65186780228521,-87.53967136144637
Union Ave & Root St,397,41.819132924,-87.643319607
Menard Ave & Division St,51,41.9,-87.77
Clark St & Touhy Ave,986,42.01256011541,-87.6743671152
Clyde Ave & 87th St,115,41.737220645,-87.572716951
Halsted St & Polk St,18418,41.87184,-87.64664
Albany Ave & Bloomingdale Ave,5680,41.913947225,-87.705141544
Public Rack - Newland Ave & Diversey Ave,3,41.93,-87.8
Cottage Grove Ave & 51st St,1809,41.803038,-87.606615
Halsted St & 37th St,479,41.827059,-87.64572
La Villita Park (Albany/30th),75,41.84,-87.7
Austin Blvd & Madison St,454,41.880360484,-87.774482489
Wabash Ave & Wacker Pl,13162,41.886875,-87.62603
Wentworth Ave & Cermak Rd,9652,41.85308455741279,-87.63193130493164
Chicago State University,566,41.718942761,-87.608457208
Ewing Ave & Burnham Greenway,584,41.71274876109496,-87.53481388092041
Broadway & Berwyn Ave,8515,41.978353,-87.659753
Michigan Ave & 114th St,65,41.68701479467118,-87.62105226516724
Clark St & Armitage Ave,29053,41.918306,-87.636282
Leavitt St & Lawrence Ave,3300,41.968885,-87.684001
Clark St & Wellington Ave,17702,41.9364968219,-87.6475386582
Elizabeth St & Fulton St,3605,41.886732578,-87.6595788
Halsted St & Roscoe St,22620,41.9436615,-87.648851
Rush St & Hubbard St,10835,41.890173,-87.626185
Fullerton & Monitor,335,41.92,-87.77
Leamington Ave & Hirsch St,88,41.91,-87.75
Drake Ave & Montrose Ave,1597,41.96115407569,-87.7165690733
Western Ave & Gunnison St,965,41.97,-87.69
Southport Ave & Roscoe St,21051,41.943739,-87.66402
Monticello Ave & Irving Park Rd,1847,41.95400483876,-87.7191281797
N Paulina St & Lincoln Ave,1405,41.94,-87.67
Western Ave & Grace St,1602,41.95,-87.69
Clark St & Leland Ave,10321,41.96708783918421,-87.66729086637497
Wells St & 19th St,2300,41.856829643,-87.633813858
Greenwood Ave & 79th St,129,41.751308918,-87.597488403
Perry Ave & 69th St,426,41.76929308995,-87.6281959291
Western Ave & Walton St,8051,41.89841768945,-87.6865960164
Ellis Ave & 58th St,10476,41.788746,-87.601334
MLK Jr Dr & 29th St,10955,41.842052,-87.617
Wabash Ave & Cermak Rd,3696,41.852619,-87.626488
Racine Ave & Randolph St,5823,41.884069,-87.656853
Western Ave & Howard St,1330,42.018901,-87.690048
State St & Pershing Rd,198,41.82301523798,-87.6265680185
Wilton Ave & Diversey Pkwy*,3633,41.932418,-87.652705
Clark St & North Ave,12780,41.911974,-87.631942
Sedgwick St & Webster Ave,14981,41.92213983333333,-87.6389775
Ashland Ave & Archer Ave,1673,41.83920868403,-87.6656098589
California Ave & Winona St,742,41.97,-87.7
Lincoln Ave & Sunnyside Ave,6444,41.963042855,-87.684814334
Warren Park East,1094,42.00454962194,-87.6806661451
Public Rack - Kostner Ave & Diversey Ave,98,41.93,-87.74
Western Ave & Fillmore St,6101,41.86859616666667,-87.68628383333333
Rockwell St & Fletcher St,2079,41.94,-87.69
Avers Ave & Belmont Ave,2438,41.939408,-87.723574
Michigan Ave & Pearson St,10602,41.89766,-87.62351
Canal St & Harrison St,3297,41.874255,-87.639573
Public Rack - Kildare Ave & Division St,83,41.9,-87.73
Washtenaw Ave & Polk St,799,41.87,-87.69
Kedzie Ave & George St,1227,41.93,-87.71
Public Rack - Laramie Ave & Fullerton Ave,96,41.92,-87.76
Public Rack - Monticello Ave & Belmont Ave,256,41.94,-87.72
Public Rack - Pulaski Rd & 44th St,106,41.81,-87.72
Clinton St & Washington Blvd,28766,41.88338,-87.64117
Central Park Ave & Ogden Ave,817,41.854063503874464,-87.71511733531952
Public Rack - Harper Ave & 63rd St,5,41.78,-87.59
Oak Park & Wellington,206,41.93,-87.8
Kedzie Ave & 110th St,159,41.692403078,-87.700941205
Fairbanks Ct & Grand Ave,19127,41.892087833333335,-87.62077616666667
